Verbatim,country,Disease,Test,Diagnosed,Treatment,Emotional words,Anger ,Rage ,Mad ,Irritated,Disgust,Nausea ,Sickened ,Revulsion ,Fear ,Terror ,Scared ,Panic ,Anxiety ,Dread ,Nervous ,Worry ,Sad ,Grief ,Lonely ,Empty ,Desire ,Wanting ,Craving ,Longing ,Relaxation ,Easygoing ,Chilled out ,Calm ,Happy ,Satisfaction ,Enjoyment ,Liking ,Sentiment,Optimism_effect,Negativity_bias,Projection_bias,Pessimism_bias,Survivorship_bias,Hindsight_bias,Framing_effect,Distinction_bias,Decoy_effect,Imaginability_bias,Gamblers_fallacy,Time_discounting,Status_quo_bias,Omission_bias,Regret_avoidance,Sunk_cost_fallacy,Base_rate_fallacy,Fundamental_attribution_error,Confirmation_bias,Authority_bias,False_consensus_effect,Dunning_Kruger_effect,Hueristic,Attitude,Norm,Control,Intention,Extroversion,Neuroticism,Agreeableness,Conscientiousness,Openness,Intention_Type,intent,intent valence,Verbatim Index,belief,start,end,belief type,belief cluster
"Yeah. They give you steroids and stuff, which is not good for you, but it does help your breathing and your lungs.",us,copd,No,No,Yes,"[not] good, help",0.342681568,0.222058486,0.076801487,0.930289318,0.481916603,0.379862722,0.899644287,0.372277198,0.927844302,0.311722663,0.134639397,0.674637001,0.513374242,0.641588146,0.519936438,0.556807303,0.420987689,0.562752715,0.2541737,0.5293073,0.259561129,0.66054676,0.300667145,0.047971362,0.113439996,0.701413717,0.32900846,0.547799027,0.232385518,0.973966143,0.785738463,0.778141167,0.873691572,0.712889493,0.5803262,0.292777807,0.700658023,0.619443059,0.695876181,0.490616024,0.42517072,0.389986157,0.382220328,0.545599639,0.465358406,0.718723118,0.614053965,0.530924022,0.61506319,0.382220328,0.484861761,0.224494591,0.440800875,0.25174737,0.433214933,Representativeness,0.168513969,0.241069958,0.235116079,0.593858123,0.96588558,5.81E-07,0.999431193,0.993178487,0.999996662,to Prescribe,intent5,0.488766125,3,pandemic actually. I had been in the hospital because I had an attack and it led to lung failure and I spent a week in the hospital and then I had to go to rehab. Rehab to kind of build me back up again,24,226,attitude,attitude2
"I do. I take pills, I have inhalers, I have a nebulizer and I do them all daily, sometimes multiple times a day. And I have an injectable medication as well for the COPD.",us,copd,No,No,No,,0.138318226,0.297004916,0.485948178,0.200318806,0.736220607,0.250124887,0.559538638,0.301619751,0.901296126,0.596877488,0.583091667,0.96155001,0.742862427,0.535308253,0.815568424,0.841925668,0.163548404,0.823722701,0.928169394,0.045920506,0.857501892,0.616188898,0.990657121,0.56363527,0.116615098,0.6921123,0.883752196,0.052903411,0.023405252,0.720224797,0.245374982,0.977267306,0.620609653,0.773597419,0.729081392,0.330568224,0.578406215,0.703734279,0.736214101,0.62942183,0.406139821,0.418353498,0.474366784,0.645221531,0.476455361,0.703769445,0.520937085,0.672835171,0.677752435,0.474366784,0.399646878,0.133998007,0.520125449,0.116163753,0.519192696,Representativeness,0.068478644,0.218503475,0.118457869,0.875289083,0.999996066,7.92E-09,0.99947691,0.999998212,1,to Prescribe,intent4,0.931235468,4,", but it can also make like your face numb and tingling and your arms and feet, legs numb and tingling from the lack of oxygen and you're just miserable and you ca",378,541,control,control2
"I do, sometimes, because even though there's medications and inhalers and pills and everything, there's not always, it doesn't always satisfy what you need. It doesn't always take care of, but-",us,copd,No,No,No,"[not] satisfy, [not] care",0.796730929,0.061928544,0.643985055,0.767676803,0.7132477,0.827901145,0.357949059,0.173086803,0.248398052,0.230565554,0.961977931,0.464276837,0.560184748,0.644007059,0.548559759,0.140730619,0.463008675,0.626387504,0.659783759,0.730514356,0.590239553,0.345495541,0.603164848,0.425264257,0.595491161,0.311669991,0.529887555,0.608813857,0.599903089,0.451670726,0.820604409,0.401651232,0.276276825,0.733932257,0.728284061,0.344329476,0.560919464,0.660808563,0.639961779,0.58638525,0.387264609,0.37559554,0.467420518,0.63485384,0.449193805,0.693693459,0.413627744,0.62100029,0.599896908,0.467420518,0.323768288,0.171450585,0.574160635,0.113898516,0.535724103,Representativeness,0.112056538,0.262738109,-0.014119447,0.826405227,0.999999881,1.24E-07,0.999999762,0.009185593,0.998981655,to Treat,intent0,0.684883486,5,,,,control,control0
"Yes, I do. It's either pills, inhalers, nebulizers, and that's about it. There's not and many other options. And oxygen, of course, but there's no real cure that I've heard of.",us,copd,No,No,Yes,"[not] real, [not] cure",0.260335661,0.086679569,0.485366346,0.271931958,0.713388368,0.676643777,0.401320756,0.527820287,0.726238379,0.771204843,0.7474082,0.454909368,0.157493662,0.444284934,0.928474325,0.594837862,0.744838462,0.792074853,0.384808984,0.855984808,0.128817201,0.090988916,0.821993083,0.360688596,0.2756218,0.884854042,0.857272403,0.471780595,0.437996744,0.646322093,0.506153349,0.116252148,0.154662025,0.732585669,0.703914046,0.318585575,0.567559659,0.665846407,0.687745452,0.599618375,0.397844017,0.389982194,0.448192179,0.61356461,0.45641309,0.681666136,0.470942885,0.633704245,0.622971416,0.448192179,0.376341373,0.180999547,0.534784734,0.160383284,0.532425702,Representativeness,-0.085437998,0.413826168,-0.064969152,0.993103981,0.999985218,8.68E-08,0.000911792,5.24E-08,1,to Prescribe,intent2,0.907246908,6,", you certainly have to do what you have to do, but when I feel",40,103,attitude,attitude2
I do. I have myasthenia gravis and I've got diabetes. I have a lot of conditions and they all kind of do impact each other. Just stress alone can make it exasperated. So they're all interconnected.,us,copd,No,No,No,"stress, exasperated",0.072709436,0.56394982,0.784178164,0.571139659,0.138827448,0.102093208,0.589527584,0.845273659,0.806014932,0.225395604,0.299227802,0.541515174,0.881531911,0.39622768,0.123778405,0.616632617,0.275966516,0.117148492,0.568183139,0.250864316,0.732742049,0.367360299,0.720116675,0.598976573,0.711767092,0.704878523,0.681159595,0.775460473,0.329758559,0.447694819,0.05967926,0.733681085,0.107613692,0.714916766,0.601223528,0.291031331,0.677591085,0.619150221,0.685507596,0.507986188,0.419026047,0.378258884,0.388229877,0.550680161,0.461069107,0.716338515,0.584329367,0.55140841,0.608982146,0.388229877,0.4610098,0.209078357,0.440037429,0.229526952,0.444447309,Representativeness,-0.018877378,0.365843743,0.300682604,0.975258768,0.999973297,3.73E-06,0.991998494,8.91E-05,0.999999523,to Prescribe,intent2,0.907246908,6,and getting,313,324,attitude,attitude2
"Anyway, so what I like to do when I'm not working is I have two noisy and cheeky cockatiels and they are little yellow parrots with orange circles on their cheeks and are very messy and are really not good for people with a breathing problem. But hey, I had them before I had the breathing problem. They're very long lived.",uk,copd,No,No,No,"not, noisy, cheeky, messy, [not] good, problem, problem, very",0.209944346,0.697627628,0.667431918,0.177330209,0.805151173,0.881799357,0.62734571,0.429102882,0.765894003,0.807430454,0.460383724,0.828684456,0.577505225,0.270295673,0.799787256,0.026366142,0.696769909,0.822879268,0.01422484,0.097216467,0.462725236,0.357996473,0.276728708,0.577168495,0.423761968,0.767926775,0.096219054,0.569490241,0.088918534,0.225509528,0.625995466,0.660684069,0.423328224,0.723472059,0.667359293,0.319738537,0.667515576,0.663952529,0.692638993,0.570840836,0.444835871,0.414263159,0.410939991,0.568001568,0.491377145,0.778566897,0.550363123,0.625138283,0.60128957,0.410939991,0.389541477,0.22669974,0.505010247,0.208438292,0.461053938,Social proof,-0.088728122,0.374135315,-0.184639826,0.992782116,0.999019384,3.41E-07,0.000793083,0.770105779,0.983445048,to Prescribe,intent3,0.822982264,7,unless they have it. You might look totally healthy and it can be anybody that can be affected with it,173,275,norm,norm1
"I like clothes, a lot, and have too many. I'm into very interested in politics and I'm a news junkie. I watch the 24 hours BBC news channel. It's always on. And in the past I was heavily involved in amateur theater. Yes, I acted and stage managed and directed and anything else that was necessary and unfortunately, I don't do that anymore. Not just because of COVID. I just can't do it anymore because of COPD and few other difficulties. Anyway, of course, mentioning COVID I've been shielding for a year now in the great city of London. And yet I'm stuck in my home. I'm looking forward to it ending because it's, my world is limited enough already. I don't need this. There's a little bit about what's going on.",uk,copd,No,No,No,"too, very, amateur, unfortunately, difficulties, great, stuck, looking, limited",0.573920944,0.252549059,0.796401989,0.0955852,0.394213181,0.289241846,0.248148337,0.46221255,0.615833427,0.868473133,0.146016002,0.068762097,0.184099574,0.540915211,0.944049047,0.403339209,0.826408486,0.248789333,0.042442277,0.626184724,0.56374728,0.997046749,0.907276845,0.451580297,0.391962824,0.98706176,0.903693128,0.680236367,0.270148396,0.169817675,0.193278202,0.41683466,0.156137739,0.687130332,0.736919343,0.342714757,0.507175982,0.691301882,0.655297637,0.614842892,0.387707859,0.427083313,0.452902049,0.58803916,0.462181985,0.689582527,0.412677526,0.640054166,0.570799828,0.452902049,0.287301779,0.206782162,0.584968686,0.151492178,0.534419358,Social proof,0.314600497,0.288716078,0.555082083,-0.29845199,0.964288473,0.000118565,0.416028112,0.517980218,0.999976635,to Prescribe,intent3,0.822982264,7,"O P D, it doesn't matter.",334,359,attitude,attitude0
"But in the meantime, while waiting for the specialist appointment, I had my first flare up, which was pretty wild. I took a taxi, in this case, to the nearest A&E and waited ages for it. Finally, they saw me and told me that I had COPD. I had never heard of it before and gave me inhalers and long term and short term inhalers.",uk,copd,No,No,No,"wild, never",0.55825243,0.700366816,0.571378546,0.701693673,0.163901375,0.60126308,0.488271593,0.634205942,0.118541653,0.503057906,0.217912007,0.887335669,0.489130532,0.704453269,0.835528201,0.528071203,0.638402048,0.969398837,0.045834046,0.449717199,0.789710058,0.302656941,0.27306502,0.18922223,0.75547639,0.08468723,0.538043694,0.744654783,0.968242391,0.100266512,0.563236403,0.925754404,0.121855213,0.720677376,0.727036834,0.330810547,0.503277123,0.697458804,0.684131086,0.614144802,0.377079099,0.419750005,0.460784495,0.610390961,0.449368715,0.654194772,0.459483117,0.633397043,0.615358889,0.460784495,0.330441862,0.1501773,0.545315504,0.115426987,0.52034688,Representativeness,0.043239076,0.014015025,-0.322572142,0.847849309,0.999968886,3.95E-06,4.08E-05,2.78E-05,0.999999285,to Prescribe,intent3,0.509594911,8,visiting and we went to Niagara falls. I,192,232,norm,norm1
"So, that was, and again, it was, it was something. Again, it all started very dramatically and the symptoms were fully fledged, right from the start. I didn't have a build up as I understand a lot of other people. And so they've always been at the very severe level. Again, it was understanding about it and coming to grips with it that allowed me to realize how to manage it. And symptoms have been fairly much the same over the years, except for a short period where I was experiencing numerous flareups and quite severe flareups. And I was in and out of A&E at least once every two weeks, being blue-lighted in and sometimes staying overnight.",uk,copd,No,No,No,"severe, understanding, severe",0.161894753,0.405571202,0.648524442,0.716917,0.026197952,0.468248929,0.882968519,0.299414727,0.199025185,0.27900374,0.537710767,0.436024077,0.875161651,0.015591657,0.072511497,0.117178078,0.960129038,0.29768762,0.651730486,0.317008519,0.920360192,0.341064429,0.739563652,0.629976907,0.989572778,0.767775408,0.289420169,0.573026549,0.031525068,0.676423654,0.147558202,0.93553114,0.292647828,0.605986297,0.704865038,0.334889501,0.52467674,0.630963624,0.544734538,0.550174177,0.367555648,0.39856112,0.403727829,0.540322542,0.437758237,0.706920147,0.317432076,0.575340807,0.472387403,0.403727829,0.223289609,0.246520638,0.603435159,0.170175865,0.502730012,Social proof,0.205727845,0.291965038,0.673490226,0.39100638,0.99820447,3.96E-06,0.000672348,9.49E-08,0.008891913,to Treat,intent3,0.509594911,8,way I could,264,275,norm,norm2
"And again it was just a really, it was, I used to call them pit stops, but anyway, it was a scary time because I was deteriorating and I was told, I was even, it was even recommended. Well, one thing that was recommended was lung transplant, but that wasn't possible although I qualified for age and deterioration wise, because I just didn't have the support.",uk,copd,No,No,No,"scary, deteriorating, recommended, recommended, [not] possible, qualified, wise, [not] support",0.973073121,0.287538398,0.680116003,0.65774663,0.387854493,0.716729632,0.200029659,0.167964847,0.814857826,0.743865218,0.616388478,0.46875275,0.477316668,0.534732419,0.854880517,0.112989489,0.347154998,0.05665574,0.689596617,0.196898106,0.259216109,0.419459946,0.209951577,0.671486852,0.271245783,0.61409219,0.960976421,0.74369334,0.015874208,0.994947412,0.828678288,0.404199309,0.112592186,0.734993935,0.749527454,0.345322311,0.468185574,0.707757413,0.67992878,0.624045372,0.367938668,0.413305074,0.489991099,0.623486757,0.451304674,0.644527018,0.418742627,0.65169102,0.615992904,0.489991099,0.299566418,0.139439628,0.56614995,0.077981502,0.544286847,Representativeness,-0.026852377,0.281565875,0.255427301,0.970092356,0.999973178,7.92E-05,2.46E-06,0.071098968,0.997993588,to Treat,intent2,0.727101739,9,"give you breathing treatments and they check out everything out at the same time, but they get you back on your feet",113,229,attitude,attitude0
"It needed, what needed to happen was, well, what did happen, actually, there was a very astute respiratory nurse at the hospital, and she took me in hand, and between herself, and she made arrangements to get me joining the respiratory team at my local hospital, which I hadn't been for some reason. And we finally worked out a combination of prescriptions and pulmonary rehabilitation, 24 hours seven oxygen, and a antibiotic on a regular basis as well as prednisone on a regular basis and so it leveled things off.",uk,copd,No,No,Yes,"well, astute",0.064873087,0.679117994,0.140026966,0.378869439,0.514957043,0.902230865,0.006467274,0.354414693,0.053598739,0.036016517,0.303251804,0.370561796,0.971212698,0.965255206,0.717385014,0.598458401,0.620293077,0.022584942,0.392081174,0.883157494,0.519234869,0.636258796,0.004993656,0.079068664,0.948119393,0.445591533,0.575894783,0.948718128,0.78837087,0.202835494,0.471330449,0.762126716,0.976347159,0.639770329,0.698341727,0.336611509,0.540218174,0.644593954,0.586116731,0.556941628,0.376675695,0.404643118,0.417204261,0.558367014,0.444550008,0.704501688,0.375577122,0.582800806,0.512985945,0.417204261,0.257301033,0.232374966,0.584274471,0.163617879,0.496580452,Social proof,0.137801066,0.108129181,0.58526212,0.4978908,0.999993801,4.09E-07,0.999373674,0.769448578,0.999524534,to Treat,intent2,0.727101739,9,"they check out everything out at the same time, but they get",147,207,norm,norm0
