Response ID,Timestamp (mm/dd/yyyy),"Take a few moments to remember the situation that you thought of and re-experience the emotions you felt at that time as strongly as possible.In as much detail as possible, describe the events of the experience as you would explain them out loud to a friend, paying special attention to your thoughts and feelings during the event.","Which emotions were most present for you during this experience? (select all that apply) - Anger (e.g., Rage, Mad, or Irritated)","Which emotions were most present for you during this experience? (select all that apply) - Disgust (e.g., Nausea, Sickened, or Revulsion)","Which emotions were most present for you during this experience? (select all that apply) - Fear (e.g., Terror, Scared, or Panic)","Which emotions were most present for you during this experience? (select all that apply) - Anxiety (e.g., Dread, Nervous, or Worry)","Which emotions were most present for you during this experience? (select all that apply) - Sadness (e.g., Grief, Lonely, or Empty)","Which emotions were most present for you during this experience? (select all that apply) - Desire (e.g., Wanting, Craving, or Longing)","Which emotions were most present for you during this experience? (select all that apply) - Relaxation (e.g., Easygoing, Chilled out, or Calm)","Which emotions were most present for you during this experience? (select all that apply) - Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
85263934,9/13/2022 11:55,I had severe back pain after playing football and had to take multiple medications to reduce the pains,,,"Fear (e.g., Terror, Scared, or Panic)",,"Sadness (e.g., Grief, Lonely, or Empty)",,,
85263891,9/13/2022 11:55,It felt depressed and I wasn't really my self I found it difficult to do things the way I usually did,"Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)",,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)",
85263839,9/13/2022 11:54,"The experience was finding myself cured from a heart issue. I was taking medication for some time and had been progressively feeling better. When I was finally pronounced cured, I felt elated and delighted.",,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
85263810,9/13/2022 11:53,It was good and it a very important experience and I would love to do it,,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
85263515,9/13/2022 11:49,You gotta do what you gotta do sometimes In life to get by,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85263383,9/13/2022 11:47,"I was in elementary school. One of the other students had fallen previously and had significant facial bruising, including two tremendously noticeable black eyes. I was horrified and disgusted, and nearly fainted. My family had to take me home from school that day.",,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85263213,9/13/2022 11:45,I remember as a child hitting my head against the bedpost and that a family member had tripped me prior to that. I had to have stitches and didn't feel so great for a bit.,"Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85263172,9/13/2022 11:45,I felt concerned at first mostly relaxed then sober,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
85262121,9/13/2022 11:31,I'm well fine no illnesses I don't think about it was a little bit more and ticktock No insult the success,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
85260587,9/13/2022 11:16,It's ok for now until something comes better life is about having patience,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,"Desire (e.g., Wanting, Craving, or Longing)",,
85255138,9/13/2022 10:08,I felt so relieved and happy to be going home after 3 days in the hospital. I passed the test for the physical therapist to his great surprise. I showed him what he wanted to see in my walking ability. My partner saw too me walk the hall past the hospital room door. I really wanted to leave the hospital and go home. Looking forward to my rehabilitation of walking normal again.,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,"Desire (e.g., Wanting, Craving, or Longing)",,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
85255128,9/13/2022 10:08,I really don't understand what the question is referring to I mean Idk what occurance I could talk about that wouldn't be a book,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
85254987,9/13/2022 10:07,"When I got my letter for retirement, I was happy and scared at the same time because I didn't know what would come next for me",,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
85254985,9/13/2022 10:07,I’m not sure that I’ve ever experienced anything that this question is looking for.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
85254946,9/13/2022 10:06,It is excited to have the experience with a lot of friends as well as special events.,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
85246659,9/13/2022 8:35,I felt uncomfortable and scared. It was not a nice experience.,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85246543,9/13/2022 8:33,confused. not quite sure the point of it. just very very confused,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
85246244,9/13/2022 8:30,My father slipping away with advanced parkinsonism and dimentia,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
85245860,9/13/2022 8:26,"i was in so much pain and had been told over the past couple of days I had been over ly exaggerating, i went and got help and my needs were met. no more pain. the professional confirmed i wasnt all in my head, my feelings and pain were valid. a breathe of fresh air mentally and physically","Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
85245424,9/13/2022 8:21,.,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
85243773,9/13/2022 8:07,I knew my dad was on his last legs and felt completely helpless watching him fade away,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
85181109,9/12/2022 14:51,Extreme feelings of hope and determination due to believing a positive result would come from this particular health related issue. My feelings of anxiousness were reduced to near enough zero because i was so determined that I would get a positive result from this,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
85180900,9/12/2022 14:49,i felt disgruntled and it was horrible. not sure it was very pleasant at all. felt very uneasy and I did not want to repeat it at all. it would be disgusting. I wanted to keep my family away from it as far as possible,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
85180769,9/12/2022 14:47,None ix right to say here ever when it's not bad at all,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85180521,9/12/2022 14:45,frustrated angry out of control lkfu disappointed want to be feel normal,"Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
85180350,9/12/2022 14:43,"Very personal and emotional but losing loved ones, making you feel helpless and inadequate. Empty and disorientated","Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
85180283,9/12/2022 14:42,Not sure what to say it was very natural/neutral. They were having a discussion,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
85180246,9/12/2022 14:42,I felt really angry and upset being bardged out of the way. They must be blind if they didn’t see me or notice my walking stick. I wish people would pay attention especially as there are vulnerable people around. It makes me sick thinking nobody cares,"Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
85180209,9/12/2022 14:41,Rotherham United won promotion via the playoffs at Wembley. I was there.,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
85180206,9/12/2022 14:41,Not sure maybe earache or something like that that’s all I can think of,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85180182,9/12/2022 14:41,When my mum died and I went into see her.Shed had cancer and was sufferering she looked so at peace but I didn't want her to go I cried all day,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
85180140,9/12/2022 14:41,When I sleep I wake up and feel very sick I feel I can't control my heat beat,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85180108,9/12/2022 14:40,I was recently diagnosed as autistic. After 40 years service for my employer they now want rid of me. Very upsetting and stressful,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85180077,9/12/2022 14:40,I was once so anxious for business opportunity I ended up not talking to my loved ones for a while.,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
85179987,9/12/2022 14:39,I think this is important because of the important things during the evebt,"Anger (e.g., Rage, Mad, or Irritated)",,,,,,,
85179929,9/12/2022 14:38,When I passed my exams I felt very happy and knew that all the work was worthwhile,,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,
85179868,9/12/2022 14:38,"I HAD STOMACH PAINS,HAD PROBLEMS IN THE PAST,THOUGHT IT WAS CANCER,NEVER SEE MY GRANDDAUGHTER GROW,SO SAD",,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85179709,9/12/2022 14:37,"I had been recovering from a severe chest infection as a teenager, and I returned to my exercise regime too early, and without realizing it one night I tore my own lung tissue, resulting in a perforation. I was lying in bed a little while later when my chest was filled with a growing pain as I laid there, and it kept tightening and became harder to breathe with each breath. I kept tossing and turning, holding my chest and I started feeling numbness in my body, in my skin as it became cold. After so long I climbed out of my bunk and as I climbed down, I fell, and I was found by family who took me to hospital. I kept slipping in and out of consciousness as my brain was not getting enough oxygen at times, but I made it just in time. I might have died, I may not have, but I just remember gradually feeling like I was fading as I was not feeling the pain any more. I did not feel afraid, and that was the strangest part. I wondered if that was how death would feel one day, and afterwards I felt calmer about my fears.",,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85179556,9/12/2022 14:35,Sadness is bad thing which want to overcome in life and it is a emotional,,,"Fear (e.g., Terror, Scared, or Panic)",,"Sadness (e.g., Grief, Lonely, or Empty)",,,
85179530,9/12/2022 14:35,I would not take about this experience as it’s horrible,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
85179527,9/12/2022 14:35,This was when i loved a girl and she even loved me back. The moment she found that i had cancer she left me,"Anger (e.g., Rage, Mad, or Irritated)",,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
85179517,9/12/2022 14:35,No experience of any situation like that. The reason I am currently working is the first thing that I have to delete from my old account,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85179498,9/12/2022 14:35,There is a man and some girls playing the instrument,,,,,"Sadness (e.g., Grief, Lonely, or Empty)","Desire (e.g., Wanting, Craving, or Longing)",,
85179478,9/12/2022 14:35,Fear that the injury was serious and could be life-threatening.,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
85179353,9/12/2022 14:34,"During the lockdown I decided to use the spare time to get fit, through diet and exercise. I built a home gym. Over a 6 months period I lost 4 stones and made a big improvement to my cardio health and my strength. I felt myself having more energy, being more 'springy' and less lethargic. I feel really positive about it and want to keep going. It has benefits in all the things I do, also good for my mental health.",,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
84831208,9/7/2022 9:58,I was looking forward to a vacation - I was excited and nervous before going.,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
84831111,9/7/2022 9:57,just want things are one or one ojust is one of rn eeeeffffffff,,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83375020,9/1/2022 11:10,I was really upset because my sister's brand new dog that was so cute and a puppy mysteriously passed away the day after I met him the first time and it was so sad,"Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83374136,9/1/2022 11:01,I was so upset and my mind started to hurt. I couldn’t sleep at all because I kept thinking about what was said and done.,,,,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
83366582,9/1/2022 9:44,"When I called my credit card company to let them know I was going out of town so I could use my card without having it investigated, the girl was quite combative and obtuse. After several minutes of trying to inform her of what I was doing, I gave up in disgust. That raised my blood pressure and that is not good for my health.","Anger (e.g., Rage, Mad, or Irritated)",,,,,,,
83363305,9/1/2022 9:23,"its helpful message, and its interesting, innovated,,relevant",,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83321421,9/1/2022 6:26,I felt like more of a calm setting to be able to practice their instrument,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83321288,9/1/2022 6:25,Very interesting to see and hear. I enjoyed it thoroughly,,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83321216,9/1/2022 6:24,I go through the stages of grief rather quickly. Elizabeth Kubler-Ross would change her model if she met me. I go directly to acceptance knowing the other stages aren't bringing the person back. Everybody I know who has died has led a full and happy life. perhaps my perspective would change if the person was taken long before they should have died.,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
83321165,9/1/2022 6:24,I witnessed someone die right in front of me and I felt upset that I couldn't do anything to save that person,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83321125,9/1/2022 6:23,Carrying round big instruments that is hard on my back,,,"Fear (e.g., Terror, Scared, or Panic)",,"Sadness (e.g., Grief, Lonely, or Empty)",,,
83321096,9/1/2022 6:23,it makes me happy a lot so i love it a lot and like it a lot,,,"Fear (e.g., Terror, Scared, or Panic)",,,,,
83321091,9/1/2022 6:23,just harder to do little things that normal people would take for granted,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
83321086,9/1/2022 6:23,I was 17 and being put in the hospital to be induced. I was in labor for almost 13 hours but it was well worth it to know that my son came out healthy. When i seen his face and heard his cry all my worries went away.,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83321021,9/1/2022 6:22,I felt angry and felt anxious at the same time and i couldnt stand to watch what had happened to the man,"Anger (e.g., Rage, Mad, or Irritated)",,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83265048,8/31/2022 15:59,A sudden sadness and hopelessness and not knowing how to overcome the situation and feeling like everything has gone dark,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
83264803,8/31/2022 15:58,I was feeling worried and stressed. The clippings was not colorful and attractive. It was slightly boring,,,"Fear (e.g., Terror, Scared, or Panic)",,"Sadness (e.g., Grief, Lonely, or Empty)",,,
83164093,8/30/2022 15:08,"It felt like a rush of emotions, stabbing my spine with so much joy and sonder",,,,,,"Desire (e.g., Wanting, Craving, or Longing)","Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83163978,8/30/2022 15:06,A much older man kept bothering me for a date. I kept telling him no but he tried to kiss me. I smacked him!,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
83163924,8/30/2022 15:05,"I felt empty. I couldn't process any emotion, even upset or anger. I didn't want to speak to anyone or do anything for a long time.",,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
83163898,8/30/2022 15:05,"I was walking beside a road, and I saw that a pigeon has been hit and killed by a vehicle. There was blood and feathers nearby. The bird's remains had been squashed flat. It was a gruesome sight. I felt sick.",,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,,,,,
83163875,8/30/2022 15:04,Finding out that I was pregnant with my daughter after a long period of disapointment and medical tests.,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83163858,8/30/2022 15:04,Feel victim of repeated verbal bullying and had to call police.,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
83163815,8/30/2022 15:03,I believed that my friend with diabetes would not get rid of them as they loved sugary drinks and foods. I was very worried for them and tried my best to help them stay off anything bad for them,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83163792,8/30/2022 15:03,I was devastated when I lost my mum to cancer. My whole world fell apart.,"Anger (e.g., Rage, Mad, or Irritated)",,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
83163786,8/30/2022 15:03,I have experience getting angry at my friends for no reason,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
83163762,8/30/2022 15:03,Wanted to physically chunder and scream 'nooooooooooo',,,,,,"Desire (e.g., Wanting, Craving, or Longing)",,
83163748,8/30/2022 15:03,"It was my grandfather's funeral. Later, we visited the graveyard and the smell was hideous that I almost went into a panic attack. My nose felt suffocated and the smell completely filled my nose. I absolutely hated it to the point where I refuse to visit a graveyard again",,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83163606,8/30/2022 15:02,"When I realised my business was starting to become successful, it took me a while to build it up from scratch. I felt happy when I realised it was starting to do well and became successful.",,,,,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83163524,8/30/2022 15:02,After I had my second child - the birth was traumatic but when she was out I was elated,,,"Fear (e.g., Terror, Scared, or Panic)",,,,,"Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83163485,8/30/2022 15:01,I remember initially feeling very sad and concerned with my eye condition. At my final appointment I remember feeling positive and relieved,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83163462,8/30/2022 15:00,Relief as my 92 years old farther passed away I felt slightly guilty,,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
83163446,8/30/2022 15:00,"I felt honestly isolated and really because of my condition, looked down",,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83163395,8/30/2022 14:59,"Car accident,woke up scared didn't know where I was","Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
83163385,8/30/2022 14:59,Feeling excited and enjoyment to a particular event,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83163357,8/30/2022 14:59,"Elated and happy for a period of time, felt very positive in everything I did for a good amount of time",,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83163046,8/30/2022 14:57,"I lost my mum when unwashed 21 years old. My mum was only47 years old when she died, she died of cancer. It was the worst day of my life, I felt lost, I was in so much pain it felt like my life had fallen apart. I had lost my best friend and the best woman in the world. I felt loss, anger, pain, sxared, fear and felt like dying.","Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
83163012,8/30/2022 14:57,"Being told you had cancer,and not knowing what the out come would be","Anger (e.g., Rage, Mad, or Irritated)",,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
83162901,8/30/2022 14:55,Really understand everything really understand everything what was going on and I'm great full for these And survey's to keep me going And keep my strength up,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83162894,8/30/2022 14:55,It is a strong solutions as I think it is a good idea for the group,,"Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)",,"Sadness (e.g., Grief, Lonely, or Empty)",,,
83162889,8/30/2022 14:55,I was scared and felt really alone which I did not like at all,,,"Fear (e.g., Terror, Scared, or Panic)",,,,,
83162866,8/30/2022 14:55,"I once went to the hospital to get checked out. I was really worried, but the doctor assured me that I was totally fine and need not worry about anything.",,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83162852,8/30/2022 14:54,When I got an award from my old school teachers congratulating me on my score in the latest exams and I was invited onto the stage for a prize ceremony,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83162836,8/30/2022 14:54,"Music concert- heartwarming, content, at peace, pure enjoyment",,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83162804,8/30/2022 14:54,People living in fear and not going ahead with what they actually would like to do,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83162631,8/30/2022 14:52,"I felt at peace with my inner self , the music was perfection and I loved every single bit.",,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83162605,8/30/2022 14:52,Working as a carer i came across lots of these situations but one that comes to mind now is related to addiction. I was looking after this lady that eas addicted to sleeping pills and she blamed me for stealing her pills so i feel forced to ring 111 to order more dor her as she already had enough from her gp prescription,"Anger (e.g., Rage, Mad, or Irritated)","Disgust (e.g., Nausea, Sickened, or Revulsion)",,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
83063299,8/29/2022 12:39,I don't know it was very boring so I didn't pay much,,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83058440,8/29/2022 11:49,Dont know dont know dont know dont know dont know dont know,,"Disgust (e.g., Nausea, Sickened, or Revulsion)","Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
83058335,8/29/2022 11:48,i found it interesting and wanted to find out more. I felt good though all round.,,,"Fear (e.g., Terror, Scared, or Panic)",,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)",
83058240,8/29/2022 11:47,I was very unhappy and not a bit pleased I was was very upset,,,,,,,"Relaxation (e.g., Easygoing, Chilled out, or Calm)","Happiness (e.g., Satisfaction, Enjoyment, or Liking)"
83057911,8/29/2022 11:44,I’m a bit positive about it and think it was good and appealing as well to individuals,,"Disgust (e.g., Nausea, Sickened, or Revulsion)",,"Anxiety (e.g., Dread, Nervous, or Worry)","Sadness (e.g., Grief, Lonely, or Empty)",,,
83057777,8/29/2022 11:43,ther ewas a lotof noise involved and soon thecars took off,,,"Fear (e.g., Terror, Scared, or Panic)",,,,,
83057683,8/29/2022 11:42,Strong Pain before dont given antibiotics by professional,,,"Fear (e.g., Terror, Scared, or Panic)",,,,,
83057631,8/29/2022 11:42,I cut my foot open on a once piece of glass in a Brook I started to panick,,,"Fear (e.g., Terror, Scared, or Panic)","Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83057549,8/29/2022 11:41,"I was admitted to hospital with a weak left arm. Neuro requested an mri and it showed a lesion in my brain. I was calm but fretful - thinking of all I wanted to achieve before the tumour got me. It turned out to be inflammation from MS, whereby I felt relief.",,,,"Anxiety (e.g., Dread, Nervous, or Worry)",,,,
83057518,8/29/2022 11:41,"The ad was about a taxi and that’s about it, it was very interesting and very detailed",,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
83057477,8/29/2022 11:41,"I remember feeling confused at the pain level, I thought about how to make it better",,,,,"Sadness (e.g., Grief, Lonely, or Empty)",,,
